study,individual,word,Ntot,N1,ND,N0,score,propscore,theta,se.theta,outfit,infit
violation_slider,5,Baby Stroller,161,23,0,138,23.214285714285715,0.14418811002661935,-3.013596102748884,0.27076849472832804,0.3648943128667471,0.6645237644564788
violation_slider,6,Bicycle,155,77,0,78,77.00193548387097,0.49678668054110303,-0.2982606770396157,0.23151458288348192,0.528829815214682,0.7912711622963461
violation_slider,7,Bus,152,132,0,20,131.77894736842106,0.8669667590027701,3.3970379985634187,0.29993029234348456,0.6558950124742778,0.8337726471557171
violation_slider,8,Canoe,172,71,0,101,71.05232558139534,0.4130949161709031,-0.9292834196730048,0.20912373983064822,1.219791647036548,0.9491154914851057
violation_slider,9,Car,157,133,0,24,132.79171974522293,0.8458071321351779,3.1187766734427984,0.2839772119176685,1.3797391665281926,0.8922455910958091
violation_slider,10,Carriage,153,91,0,62,90.94313725490196,0.59439958990132,0.6290467476251156,0.25921569738682504,1.0645208932658152,1.1030538546125042
violation_slider,11,Crutches,152,16,0,136,16.236842105263158,0.10682132963988919,-3.451823418762791,0.3051652060513632,0.7763186946655353,1.169619574682065
violation_slider,12,Drone,159,77,0,82,77.00943396226415,0.4843360626557494,-0.33579617643005005,0.22565756513973043,1.0944519424970116,0.8419727986725634
violation_slider,13,Golf Cart,159,95,0,64,94.94150943396227,0.5971164115343539,0.5854730701387078,0.2434645827051666,0.6199429770807913,0.7822611817140306
violation_slider,14,Helicopter,161,132,0,29,131.8080745341615,0.8186836927587671,2.8195115779051907,0.27262649847702425,0.8174757019825042,1.2169298886693072
violation_slider,15,Vehicle,166,137,0,29,136.80481927710844,0.8241254173319785,2.7555396363964286,0.27335320012736514,0.7288272591136526,0.8305012974447056
violation_slider,16,Liferaft,157,49,0,108,49.11273885350318,0.3128199926974725,-1.6063996257247135,0.22378897226289696,1.1429276826180441,0.9853432331487022
violation_slider,17,Moped,159,115,0,44,114.86603773584905,0.7224279102883588,1.8515429649134683,0.2672129695075515,1.0210095240205699,0.9214239714852986
violation_slider,18,Pogo Stick,162,49,0,113,49.11851851851852,0.30320073159579336,-1.638904761641656,0.21697015027531807,0.6869226327098586,0.9571434484153131
violation_slider,19,Rollerskate,169,56,0,113,56.101183431952656,0.3319596652778264,-1.225607024124746,0.21540639680402301,1.0398531081086704,0.9180351691184189
violation_slider,20,Skateboard,153,67,0,86,67.0372549019608,0.43815199282327316,-0.7087418158370679,0.22200388356639633,0.748807647375653,0.8379693921579462
violation_slider,21,Toy Car,166,34,0,132,34.17710843373494,0.2058861953839454,-2.3663484687938188,0.23662391588202664,0.6641220428907894,1.0200930595095197
violation_slider,22,Truck,161,148,0,13,147.74844720496895,0.9176922186644034,4.082796975495544,0.3240968296268939,0.3445692410769265,0.9380586043209618
violation_slider,23,Wheelchair,154,42,0,112,42.13636363636363,0.27361275088547815,-1.9065632598653839,0.23444454834270465,0.5206673536002565,0.870550683888639
violation_slider,24,WWII Truck,163,52,0,111,52.10858895705522,0.3196845948285596,-1.4722892201106375,0.21812934347322538,2.5225339800738027,1.4443670000300313
violation_slider,25,Zip-line,158,68,0,90,68.04177215189874,0.43064412754366294,-0.7297908281921752,0.21959881949900686,1.2056073467136206,1.072752639833816
vehicle_pairs,1,Airplane,170,121,0,49,120.87294117647059,0.7110173010380623,1.9818538687198062,0.2707532085570086,2.0972836345079298,0.89785087449839
vehicle_pairs,2,Ambulance,164,131,0,33,130.8207317073171,0.7976873884592506,2.8320050471321934,0.2887559034975069,2.713729090966681,0.9504994244988149
vehicle_pairs,3,Automobile,174,151,0,23,150.7793103448276,0.8665477606024574,3.6581116126397855,0.29959625840158544,1.2604944048023135,0.9729155582155423
vehicle_pairs,4,Baby Shoulder-Carrier,162,12,0,150,12.255555555555558,0.07565157750342937,-4.1674947912941684,0.32994783508444736,1.4510786897592642,1.02577283564009
vehicle_pairs,5,Baby Stroller,168,44,0,124,44.14285714285714,0.2627551020408163,-2.1892439534839383,0.23675984520999357,0.554433553742478,0.8975321918539035
vehicle_pairs,6,Bicycle,162,82,0,80,81.9962962962963,0.5061499771376314,-0.06160671006561968,0.2444910530098493,0.623115712182145,0.6657998414821057
vehicle_pairs,7,Bus,165,144,0,21,143.77636363636367,0.8713719008264464,3.6285634978297625,0.3085940004974089,0.24439653842925524,0.7058406433834228
vehicle_pairs,8,Canoe,160,63,0,97,63.06375,0.3941484375,-1.0681842863317603,0.24074029267508826,2.7414342837206656,1.0639773195307078
vehicle_pairs,9,Car,170,164,0,6,163.72117647058826,0.9630657439446368,5.240313358315127,0.4338329240751211,1.7072879627072461,1.033237876671895
vehicle_pairs,10,Carriage,174,97,0,77,96.9655172413793,0.557273087594134,0.31964707755452426,0.24346117927921052,0.6473609109355769,0.8813879657192937
vehicle_pairs,11,Crutches,170,29,0,141,29.19764705882353,0.17175086505190312,-2.961668042665027,0.2552547454674755,2.624394221190473,1.0516687892734622
vehicle_pairs,12,Drone,163,31,0,132,31.185889570552153,0.19132447589295798,-2.8275375834300513,0.25731637591863604,1.046164432350809,1.0478243133270306
vehicle_pairs,13,Golf Cart,171,105,0,66,104.93157894736842,0.6136349646044937,0.7813736389865326,0.25083426698653966,1.4564950666781538,0.8597721137492301
vehicle_pairs,14,Helicopter,170,108,0,62,107.91882352941177,0.6348166089965398,1.1410145165425023,0.25863800717919,0.5559701402475283,0.7830191864361509
vehicle_pairs,15,Vehicle,166,150,0,16,149.75783132530123,0.9021556103933809,4.045968715051877,0.3303358653149904,4.313210836703147,1.213614813884724
vehicle_pairs,16,Liferaft,171,54,0,117,54.11052631578947,0.31643582640812556,-1.7604651100941036,0.22764148960053962,0.6244070795062472,0.947010136331078
vehicle_pairs,17,Moped,166,115,0,51,114.88433734939758,0.6920743213819132,1.5433036008288719,0.27216744371893203,0.9380850056978794,0.6335174801305751
vehicle_pairs,18,Pogo Stick,163,23,0,140,23.215337423312885,0.14242538296510973,-3.297105033116223,0.27282163670940823,1.6927759391734003,1.0003474401187467
vehicle_pairs,19,Rollerskate,163,43,0,120,43.14171779141104,0.2646731152847303,-2.1156100138705027,0.24284532484304777,0.6688146679651233,0.6495146979121859
vehicle_pairs,20,Skateboard,166,58,0,108,58.09036144578313,0.3499419364203803,-1.464943826313705,0.23165488798929437,1.3536751514814345,0.6922048473610372
vehicle_pairs,21,Toy Car,169,53,0,116,53.11183431952663,0.3142712089912818,-1.7879079157584332,0.23350835595189115,3.1681660997698353,1.1771900204363464
vehicle_pairs,22,Truck,168,147,0,21,146.775,0.8736607142857143,3.6467878747021767,0.3098542543106337,1.2746315094216079,0.878063777853247
vehicle_pairs,23,Wheelchair,170,81,0,89,81.01411764705882,0.4765536332179931,-0.274261423027915,0.23831801119374546,2.8300141301850306,0.9555965931746485
vehicle_pairs,24,WWII Truck,168,70,0,98,70.05,0.4169642857142857,-0.8182518820634258,0.23291785388853078,1.25009949645347,1.3056826397583527
vehicle_pairs,25,Zip-line,167,14,0,153,14.249700598802395,0.08532754849582272,-4.024662236788286,0.31231261740852284,0.5010363257079953,0.9693779344423378
violation_pairs,1,Airplane,129,101,0,28,100.83023255813954,0.7816297097530197,2.162388491612353,0.2818916454479656,3.546302682331195,1.559630072319352
violation_pairs,2,Ambulance,140,67,0,73,67.01285714285714,0.47866326530612247,-0.3334514714406794,0.22756089404789723,2.4566107730530167,1.389358722701185
violation_pairs,3,Automobile,138,116,0,22,115.79565217391306,0.8390989287964714,2.732832281751568,0.2913963091402679,0.3452736083404492,0.8059445853429812
violation_pairs,4,Baby Shoulder-Carrier,138,9,0,129,9.260869565217392,0.0671077504725898,-3.659706983100472,0.3674684279830392,1.7058377879903988,1.2122573339699216
violation_pairs,5,Baby Stroller,136,21,0,115,21.20735294117647,0.1559364186851211,-2.605257657534207,0.2789598520846774,4.198353157089328,0.777119238304213
violation_pairs,6,Bicycle,139,72,0,67,71.98920863309353,0.5179079757776512,0.025803252958493044,0.2341906218402815,0.9781160917525168,0.8706807318452184
violation_pairs,7,Bus,137,120,0,17,119.77445255474453,0.8742660770419308,3.014011468374651,0.3119448955597914,0.39118588306904234,0.942626969003808
violation_pairs,8,Canoe,139,51,0,88,51.079856115107916,0.3674809792453807,-0.966134179953482,0.23170794182442458,0.5869848663462683,0.8432366290903468
violation_pairs,9,Car,138,119,0,19,118.78260869565217,0.8607435412728418,2.8570806533068245,0.3009139509906382,0.9567829565419247,0.9588396327141807
violation_pairs,10,Carriage,137,83,0,54,82.93649635036496,0.6053758857690873,0.613871925236077,0.2427823027562911,1.2332079006492136,0.8350168152645014
violation_pairs,11,Crutches,134,12,0,122,12.24626865671642,0.09139006460236135,-3.3047897146084546,0.3359067169437856,2.132339742880649,0.8752351335783287
violation_pairs,12,Drone,137,54,0,83,54.06350364963504,0.3946241142309127,-0.8084264589969792,0.2299269701255158,0.5588611125428891,0.8303864189043939
violation_pairs,13,Golf Cart,136,85,0,51,84.925,0.6244485294117647,0.7828981297636142,0.24861128797395565,0.6950275264939937,0.7757699273215666
violation_pairs,14,Helicopter,135,102,0,33,101.84666666666668,0.7544197530864198,1.8520675341234691,0.2719972759117413,0.6450582679038745,0.8744073130964068
violation_pairs,15,Vehicle,137,121,0,16,120.77007299270073,0.8815333795087644,3.131647450589824,0.3134955223920044,0.3437774331629788,0.8501252414181475
violation_pairs,16,Liferaft,140,53,0,87,53.072857142857146,0.3790918367346939,-0.9227679368455818,0.22658351893105924,0.6442698098964131,0.9331881814518834
violation_pairs,17,Moped,137,93,0,44,92.89270072992701,0.6780489104374234,1.1883709301239413,0.2554263631708014,0.9130970253341886,0.9277603321473606
violation_pairs,18,Pogo Stick,135,36,0,99,36.14,0.2677037037037037,-1.7349230086617704,0.24474552018782106,1.1724738216075548,1.0691218372969986
violation_pairs,19,Rollerskate,138,42,0,96,42.11739130434783,0.3051984877126654,-1.4610013730390359,0.23718644797399682,0.8406970701916598,0.8834839990769536
violation_pairs,20,Skateboard,134,59,0,75,59.035820895522384,0.44056582757852525,-0.4429345471235049,0.23382636171851692,0.7506064614161471,0.9157707320207471
violation_pairs,21,Toy Car,135,23,0,112,23.19777777777778,0.17183539094650208,-2.4867652698958014,0.27442815042605767,0.7175186924156807,1.0024576745363007
violation_pairs,22,Truck,135,125,0,10,124.74444444444444,0.9240329218106995,3.6472009960610534,0.3618696320207253,4.866866077085607,1.0974769088497138
violation_pairs,23,Wheelchair,138,41,0,97,41.12173913043478,0.2979836168872086,-1.4267755762150238,0.23519101909097928,0.6266092425300226,0.8974263796860459
violation_pairs,24,WWII Truck,139,49,0,90,49.08848920863309,0.35315459862325965,-1.1355282740805306,0.2287205897229715,1.4967762063207253,1.2036162207883176
violation_pairs,25,Zip-line,139,56,0,83,56.05827338129497,0.40329693080068324,-0.7197106624063445,0.22854569242656103,0.7926253001426756,0.9053657409359412
nuisance_slider,1,Airplane,167,152,0,15,151.75389221556887,0.908705941410592,3.1885279427531934,0.3003994277113109,5.742089633525124,1.2166113258796318
nuisance_slider,2,Ambulance,163,71,0,92,71.03865030674847,0.4358199405321992,-0.6314273827225401,0.1923818893831544,1.8134967788047451,1.3757878498163352
nuisance_slider,3,Automobile,159,128,0,31,127.81698113207547,0.8038803844784621,2.022137442627875,0.2454960120155698,1.793229926164313,1.0126764782327804
nuisance_slider,4,Baby Shoulder-Carrier,152,9,0,143,9.264473684210527,0.06095048476454294,-3.400442298715111,0.35827457953826436,5.324573935649623,1.0921597879097849
nuisance_slider,5,Baby Stroller,164,32,0,132,32.18292682926829,0.19623735871505055,-2.047012943601156,0.22628953047648281,0.7109788388621888,0.8875998794191458
nuisance_slider,6,Bicycle,171,67,0,104,67.06491228070176,0.3921924694777881,-0.6890426839915338,0.19496629092406842,0.6765833999743076,0.7974856226433733
nuisance_slider,7,Bus,158,130,0,28,129.80632911392405,0.8215590450248358,2.12646156222979,0.2522646503152699,0.8088813274017363,0.8621272473588332
nuisance_slider,8,Canoe,172,57,0,115,57.10116279069768,0.33198350459707954,-0.9435475474315754,0.1964097820901418,0.7741984840873536,0.9431215856805206
nuisance_slider,9,Car,164,122,0,42,121.85365853658536,0.7430101130279595,1.5703030115997116,0.23028009105717437,0.7576018067922602,0.7185837580232017
nuisance_slider,10,Carriage,147,76,0,71,75.98979591836734,0.5169373871997778,0.0848561005457833,0.2105021662233769,0.9318624769238544,0.9645538473092764
nuisance_slider,11,Crutches,155,18,0,137,18.230322580645165,0.11761498439125913,-2.723370533186411,0.27637624176023284,1.231317951941556,0.820011666107582
nuisance_slider,12,Drone,149,87,0,62,86.9496644295302,0.5835547948290618,0.5583726511949084,0.21856427173482496,0.9210002813061359,1.0041448946398253
nuisance_slider,13,Golf Cart,150,81,0,69,80.976,0.53984,0.29990995435112927,0.21540400109794675,0.7938147302626941,0.8336323678366494
nuisance_slider,14,Helicopter,168,152,0,16,151.75714285714287,0.9033163265306123,3.0698661130097062,0.2978787749481923,1.6584297823085108,0.9004603618198181
nuisance_slider,15,Vehicle,144,114,0,30,113.825,0.7904513888888889,1.9155647135465148,0.2558680088642722,0.9738143521142278,0.9440574872325701
nuisance_slider,16,Liferaft,157,48,0,109,48.11656050955414,0.3064749077041665,-1.0308681229017858,0.20992153837775238,1.1936843491614362,1.1121828983272148
nuisance_slider,17,Moped,169,113,0,56,112.89881656804734,0.6680403347221736,1.103645455400643,0.2138984360242089,0.9230219920875914,0.9508460556322318
nuisance_slider,18,Pogo Stick,158,63,0,95,63.060759493670886,0.39911873097260053,-0.7237327924248773,0.20460192986757053,0.9642402281125494,0.9735186150461476
nuisance_slider,19,Rollerskate,161,61,0,100,61.07267080745341,0.37933335905250565,-0.7848300496573914,0.1971733606935064,1.1547505683766481,1.0203408394994729
nuisance_slider,20,Skateboard,174,84,0,90,84.01034482758621,0.48281807372175983,-0.3030658771980042,0.19010819910773086,0.8613588191486725,0.850697040693561
nuisance_slider,21,Toy Car,141,27,0,114,27.185106382978727,0.19280217292892715,-2.0773802862969744,0.25053848701331305,2.9698093736712505,1.2181485881122311
nuisance_slider,22,Truck,151,130,0,21,129.78344370860927,0.8594930046927766,2.5218354829626026,0.2739147331943415,1.0404042019073863,1.0299718062620218
nuisance_slider,23,Wheelchair,154,55,0,99,55.08571428571428,0.3576994434137291,-1.0243148716360753,0.20580557732297755,0.7079787811387439,0.8190311232749704
nuisance_slider,24,WWII Truck,159,41,0,118,41.14528301886793,0.2587753648985404,-1.539049785205975,0.21993006514423094,0.6880941435328807,0.971679132459367
nuisance_slider,25,Zip-line,167,69,0,98,69.05209580838323,0.41348560364301334,-0.543395255252448,0.1946119502685612,1.2229754161379989,1.023747638962158
vehicle_slider,1,Airplane,137,102,0,35,101.85328467153285,0.7434546326389259,2.172076926428569,0.2720756732036335,0.6837128477088146,0.8463733561076365
vehicle_slider,2,Ambulance,137,110,0,27,109.81824817518248,0.8015930523735947,2.5210118646725554,0.2779376990398422,0.7970396069618157,0.9089184995695209
vehicle_slider,3,Automobile,143,114,0,29,113.82167832167832,0.7959557924592889,2.6723389082092304,0.2731690299423877,2.739222008133276,1.2488983086271945
vehicle_slider,4,Baby Shoulder-Carrier,135,14,0,121,14.23777777777778,0.1054650205761317,-3.3307745732393275,0.3164196099934914,0.42804663043804914,0.8639075401943943
vehicle_slider,5,Baby Stroller,132,33,0,99,33.15,0.2511363636363636,-2.0041061492879955,0.2575560403269802,0.48710416107469323,0.8371239551192461
vehicle_slider,6,Bicycle,139,79,0,60,78.9589928057554,0.5680503079550748,0.4066875256658057,0.2560787563486375,1.0265096300454457,0.9998467298740747
vehicle_slider,7,Bus,136,115,0,21,114.79264705882353,0.8440635813148789,3.031789865306942,0.2975885776580356,0.32691794315623474,0.7885374814450196
vehicle_slider,8,Canoe,138,53,0,85,53.06956521739131,0.3845620667926906,-1.1251438936862381,0.24483217310851632,0.4432498098290753,0.7231624756909844
vehicle_slider,9,Car,136,130,0,6,129.72647058823532,0.9538711072664361,4.524910596528277,0.4316461097668719,0.3413488855913695,0.9573783453330129
vehicle_slider,10,Carriage,133,77,0,56,76.95263157894738,0.5785912148793035,0.5920900789687484,0.2633025512695332,0.8487166682188193,0.8012743763327606
vehicle_slider,11,Crutches,136,11,0,125,11.251470588235296,0.08273140138408307,-3.6479409220625176,0.33880579936892297,0.7481421526988241,1.0039561263517356
vehicle_slider,12,Drone,127,28,0,99,28.167716535433073,0.22179304358608717,-2.2781486845955787,0.2666564099580273,2.8625414497583943,1.2454474403125741
vehicle_slider,13,Golf Cart,140,75,0,65,74.97857142857143,0.5355612244897959,0.19793875189497617,0.2502231067450064,1.0941423370876364,1.0301455360583749
vehicle_slider,14,Helicopter,138,92,0,46,91.9,0.6659420289855073,1.327511050540431,0.2652936773259036,1.475439481871428,1.104196002967868
vehicle_slider,15,Vehicle,140,120,0,20,119.78571428571428,0.8556122448979592,3.1983318183783984,0.29635187156609666,6.339797890534806,1.3493014864212083
vehicle_slider,16,Liferaft,130,49,0,81,49.073846153846155,0.377491124260355,-1.020920634048762,0.25466959136658646,1.6485007170201165,1.0496554098669582
vehicle_slider,17,Moped,136,94,0,42,93.88529411764706,0.690333044982699,1.5153090142921164,0.26742283176237164,0.36378489337336506,0.6451950595112231
vehicle_slider,18,Pogo Stick,133,27,0,106,27.178195488721805,0.2043473345016677,-2.4320018420625282,0.2685056846144108,2.757044101586802,0.7997526482099521
vehicle_slider,19,Rollerskate,135,37,0,98,37.135555555555555,0.2750781893004115,-1.7573638576922916,0.2534421259949609,0.4510964594241422,0.7706887158641623
vehicle_slider,20,Skateboard,134,47,0,87,47.08955223880597,0.35141456894631323,-1.305462622796247,0.2458705836599906,0.45452281788739785,0.6993591993499424
vehicle_slider,21,Toy Car,134,30,0,104,30.165671641791047,0.22511695255067946,-2.1517121933598338,0.26153226221292114,2.732122843398396,1.3484269128254542
vehicle_slider,22,Truck,139,119,0,20,118.78633093525181,0.854577920397495,3.023607845123181,0.30151133162028004,0.2845658813238527,0.7240349423665914
vehicle_slider,23,Wheelchair,139,70,0,69,69.9978417266187,0.5035815951555302,-0.12796777176903198,0.24649180904153298,0.5408407136700202,0.7415909962191366
vehicle_slider,24,WWII Truck,135,52,0,83,52.068888888888885,0.38569547325102876,-1.0920003170871024,0.24275617072191244,1.2938152443653197,1.305845264133359
vehicle_slider,25,Zip-line,134,20,0,114,20.21044776119403,0.15082423702383604,-2.9100607843217747,0.28476157150327297,2.7056945785353803,1.1056682333614085
